,,,,,,,
,What,Where,Mouser,Digikey,Units,Unit price CHF,Total price
,Teensy 3.6,,474-DEV-14058,1568-1465-ND,1,36,36
,Mosfet N,"Pact30, Pact28/39, BuzzAct",863-NVR5198NLT1G,NVR5198NLT1GOSDKR-ND,3,0.6,1.8
,Res 2k2,"RP2, RP4, Rb2, 10K, Rdiv2",603-RC0603FR-072K2L,311-2.20KHRCT-ND,4,0.1,0.4
,Res 100,"RP1, RP3, Rb1",603-RC0603FR-07100RP,YAG1289CT-ND,3,0.1,0.3
,Cap 0.1uF,Every C*,80-C1206Y104K9R,399-13304-1-ND,6,0.51,3.06
,Res 3k2,Rdiv1,603-RC0603FR-073K24L,311-3.24KHRCT-ND,1,0.1,0.1
,Zenner,Zenner,863-SZ1SMA5919BT3G,SZ1SMA5919BT3GOSCT-ND,1,0.64,0.64
,Buzzer,Buzzer,665-AI-1223TWT5VR,668-1019-ND,1,3.6,3.6
,Diode to power GPS locally,Diode,512-1N4148,1N4148FS-ND,1,0.1,0.1
,JST PH 2p,,,455-1719-ND,4,0.17,0.68
,JST PH 4p,,,455-1721-ND,1,0.22,0.22
,JST PH 9p,,,455-1726-ND,1,0.43,0.43
,LoRa 433,,485-3073,,1,19.57,19.57
,BNO055,,485-2472,1528-1426-ND,1,34.25,34.25
,BME280,,485-2652,1528-1359-ND,1,19.55,19.55
,Adafruit Ultimate GPS,,485-746,,1,39.18,39.18
,uFL connector,On RF,485-1661,,1,0.74,0.74
,GPS external antenna,On GPS,673-GPSMOD1315,ECHO5/0.1M/UFL/S/S/15-ND,1,15,15
,Flex antenna,,538-204287-0100,WM17024-ND,1,5.7,5.7
,,,,,,,
,,,,,,,
,,,,,,,181.32
